Query_Id,Query,Query_Category,System_Output,Remarks
56,"What factors contributed to 'multiple issues - scheduling, prescriptions & insurance'?",followup,,"Target outcome=multiple issues - scheduling, prescriptions & insurance, example_call_ids=2410-1613-1948-5896;6594-2161-6169-6795;9825-7789-6667-1373"
57,"Which turns serve as evidence for 'multiple issues - scheduling, prescriptions & insurance' and why?",followup,,"Target outcome=multiple issues - scheduling, prescriptions & insurance, example_call_ids=2410-1613-1948-5896;6594-2161-6169-6795;9825-7789-6667-1373"
58,Why did the outcome 'multiple issues - fraud & account updates' occur?,task1,,"Target outcome=multiple issues - fraud & account updates, example_call_ids=3577-9057-2601-2106;7881-5696-9013-4311;2686-5164-8011-3681"
59,What factors contributed to 'multiple issues - fraud & account updates'?,followup,,"Target outcome=multiple issues - fraud & account updates, example_call_ids=3577-9057-2601-2106;7881-5696-9013-4311;2686-5164-8011-3681"
60,Which turns serve as evidence for 'multiple issues - fraud & account updates' and why?,followup,,"Target outcome=multiple issues - fraud & account updates, example_call_ids=3577-9057-2601-2106;7881-5696-9013-4311;2686-5164-8011-3681"
61,"Why did the outcome 'multiple issues - technical, plan & payment' occur?",task1,,"Target outcome=multiple issues - technical, plan & payment, example_call_ids=8848-5303-1589-1784;2775-4579-9651-8635;4994-8949-6480-9264"
62,"What factors contributed to 'multiple issues - technical, plan & payment'?",followup,,"Target outcome=multiple issues - technical, plan & payment, example_call_ids=8848-5303-1589-1784;2775-4579-9651-8635;4994-8949-6480-9264"
63,"Which turns serve as evidence for 'multiple issues - technical, plan & payment' and why?",followup,,"Target outcome=multiple issues - technical, plan & payment, example_call_ids=8848-5303-1589-1784;2775-4579-9651-8635;4994-8949-6480-9264"
64,"Why did the outcome 'multiple issues - reservation, service & amenities' occur?",task1,,"Target outcome=multiple issues - reservation, service & amenities, example_call_ids=6162-2128-3055-6648;6875-3597-1773-1573;1531-1733-7711-8524"
65,"What factors contributed to 'multiple issues - reservation, service & amenities'?",followup,,"Target outcome=multiple issues - reservation, service & amenities, example_call_ids=6162-2128-3055-6648;6875-3597-1773-1573;1531-1733-7711-8524"
66,"Which turns serve as evidence for 'multiple issues - reservation, service & amenities' and why?",followup,,"Target outcome=multiple issues - reservation, service & amenities, example_call_ids=6162-2128-3055-6648;6875-3597-1773-1573;1531-1733-7711-8524"
67,Why did the outcome 'multiple issues - service complaints & reservations' occur?,task1,,"Target outcome=multiple issues - service complaints & reservations, example_call_ids=7610-3218-2422-1869;2263-2064-7816-5065;3413-5326-3289-7105"
68,What factors contributed to 'multiple issues - service complaints & reservations'?,followup,,"Target outcome=multiple issues - service complaints & reservations, example_call_ids=7610-3218-2422-1869;2263-2064-7816-5065;3413-5326-3289-7105"
69,Which turns serve as evidence for 'multiple issues - service complaints & reservations' and why?,followup,,"Target outcome=multiple issues - service complaints & reservations, example_call_ids=7610-3218-2422-1869;2263-2064-7816-5065;3413-5326-3289-7105"
70,Why did the outcome 'reservation modifications' occur?,task1,,"Target outcome=reservation modifications, example_call_ids=7823-7017-5652-4003;2865-4803-1402-3484;6755-3419-2473-3440"
71,What factors contributed to 'reservation modifications'?,followup,,"Target outcome=reservation modifications, example_call_ids=7823-7017-5652-4003;2865-4803-1402-3484;6755-3419-2473-3440"
72,Which turns serve as evidence for 'reservation modifications' and why?,followup,,"Target outcome=reservation modifications, example_call_ids=7823-7017-5652-4003;2865-4803-1402-3484;6755-3419-2473-3440"
73,"Why did the outcome 'multiple issues - appointment, prescription & insurance' occur?",task1,,"Target outcome=multiple issues - appointment, prescription & insurance, example_call_ids=3876-6700-8145-6686;3569-5102-9930-4733;1167-2784-4422-5343"
74,"What factors contributed to 'multiple issues - appointment, prescription & insurance'?",followup,,"Target outcome=multiple issues - appointment, prescription & insurance, example_call_ids=3876-6700-8145-6686;3569-5102-9930-4733;1167-2784-4422-5343"
75,"Which turns serve as evidence for 'multiple issues - appointment, prescription & insurance' and why?",followup,,"Target outcome=multiple issues - appointment, prescription & insurance, example_call_ids=3876-6700-8145-6686;3569-5102-9930-4733;1167-2784-4422-5343"
76,Why did the outcome 'update failures' occur?,task1,,"Target outcome=update failures, example_call_ids=8758-2017-9253-5064;5110-3254-4323-1688;8170-1398-8386-3246"
77,What factors contributed to 'update failures'?,followup,,"Target outcome=update failures, example_call_ids=8758-2017-9253-5064;5110-3254-4323-1688;8170-1398-8386-3246"
78,Which turns serve as evidence for 'update failures' and why?,followup,,"Target outcome=update failures, example_call_ids=8758-2017-9253-5064;5110-3254-4323-1688;8170-1398-8386-3246"
79,Why did the outcome 'escalation - service cancellation threat' occur?,task1,,"Target outcome=escalation - service cancellation threat, example_call_ids=3925-3887-6255-8171;8887-5278-8455-6513;8036-9800-7765-4326"
80,What factors contributed to 'escalation - service cancellation threat'?,followup,,"Target outcome=escalation - service cancellation threat, example_call_ids=3925-3887-6255-8171;8887-5278-8455-6513;8036-9800-7765-4326"
81,Which turns serve as evidence for 'escalation - service cancellation threat' and why?,followup,,"Target outcome=escalation - service cancellation threat, example_call_ids=3925-3887-6255-8171;8887-5278-8455-6513;8036-9800-7765-4326"
82,Why did the outcome 'business event - policy changes' occur?,task1,,"Target outcome=business event - policy changes, example_call_ids=4448-4578-8668-1613;2763-9787-1671-2763;3829-1475-1687-3209"
83,What factors contributed to 'business event - policy changes'?,followup,,"Target outcome=business event - policy changes, example_call_ids=4448-4578-8668-1613;2763-9787-1671-2763;3829-1475-1687-3209"
84,Which turns serve as evidence for 'business event - policy changes' and why?,followup,,"Target outcome=business event - policy changes, example_call_ids=4448-4578-8668-1613;2763-9787-1671-2763;3829-1475-1687-3209"
85,Why did the outcome 'multiple issues - service & billing setup' occur?,task1,,"Target outcome=multiple issues - service & billing setup, example_call_ids=3090-8001-1309-6192;2066-5617-7394-8759;3615-6790-1230-2370"
86,What factors contributed to 'multiple issues - service & billing setup'?,followup,,"Target outcome=multiple issues - service & billing setup, example_call_ids=3090-8001-1309-6192;2066-5617-7394-8759;3615-6790-1230-2370"
87,Which turns serve as evidence for 'multiple issues - service & billing setup' and why?,followup,,"Target outcome=multiple issues - service & billing setup, example_call_ids=3090-8001-1309-6192;2066-5617-7394-8759;3615-6790-1230-2370"
88,Why did the outcome 'multiple issues - payments & policy management' occur?,task1,,"Target outcome=multiple issues - payments & policy management, example_call_ids=7742-9436-7851-2244;5348-6003-6458-2711;6646-9075-2217-8680"
89,What factors contributed to 'multiple issues - payments & policy management'?,followup,,"Target outcome=multiple issues - payments & policy management, example_call_ids=7742-9436-7851-2244;5348-6003-6458-2711;6646-9075-2217-8680"
90,Which turns serve as evidence for 'multiple issues - payments & policy management' and why?,followup,,"Target outcome=multiple issues - payments & policy management, example_call_ids=7742-9436-7851-2244;5348-6003-6458-2711;6646-9075-2217-8680"
91,Why did the outcome 'escalation - medical error complaint' occur?,task1,,"Target outcome=escalation - medical error complaint, example_call_ids=9295-9855-5231-5046;5446-9855-3745-5784;4333-7573-2943-9767"
92,What factors contributed to 'escalation - medical error complaint'?,followup,,"Target outcome=escalation - medical error complaint, example_call_ids=9295-9855-5231-5046;5446-9855-3745-5784;4333-7573-2943-9767"
93,Which turns serve as evidence for 'escalation - medical error complaint' and why?,followup,,"Target outcome=escalation - medical error complaint, example_call_ids=9295-9855-5231-5046;5446-9855-3745-5784;4333-7573-2943-9767"
94,Why did the outcome 'business event - network outage' occur?,task1,,"Target outcome=business event - network outage, example_call_ids=1260-9290-7755-3257;8706-6061-9616-8563;7672-6425-9361-4818"
95,What factors contributed to 'business event - network outage'?,followup,,"Target outcome=business event - network outage, example_call_ids=1260-9290-7755-3257;8706-6061-9616-8563;7672-6425-9361-4818"
96,Which turns serve as evidence for 'business event - network outage' and why?,followup,,"Target outcome=business event - network outage, example_call_ids=1260-9290-7755-3257;8706-6061-9616-8563;7672-6425-9361-4818"
97,"Why did the outcome 'multiple issues - billing, plan changes & equipment' occur?",task1,,"Target outcome=multiple issues - billing, plan changes & equipment, example_call_ids=7200-6298-8648-1679;4566-9666-8360-4790;4302-3777-7506-4733"
98,"What factors contributed to 'multiple issues - billing, plan changes & equipment'?",followup,,"Target outcome=multiple issues - billing, plan changes & equipment, example_call_ids=7200-6298-8648-1679;4566-9666-8360-4790;4302-3777-7506-4733"
99,"Which turns serve as evidence for 'multiple issues - billing, plan changes & equipment' and why?",followup,,"Target outcome=multiple issues - billing, plan changes & equipment, example_call_ids=7200-6298-8648-1679;4566-9666-8360-4790;4302-3777-7506-4733"
100,Why did the outcome 'business event - major policy changes' occur?,task1,,"Target outcome=business event - major policy changes, example_call_ids=6141-9685-7197-6528;7570-5357-6417-9899;3287-9365-3176-1884"
101,What factors contributed to 'business event - major policy changes'?,followup,,"Target outcome=business event - major policy changes, example_call_ids=6141-9685-7197-6528;7570-5357-6417-9899;3287-9365-3176-1884"
102,Which turns serve as evidence for 'business event - major policy changes' and why?,followup,,"Target outcome=business event - major policy changes, example_call_ids=6141-9685-7197-6528;7570-5357-6417-9899;3287-9365-3176-1884"
103,Why did the outcome 'multiple issues - medical records & billing' occur?,task1,,"Target outcome=multiple issues - medical records & billing, example_call_ids=3879-7990-2104-4589;4291-4929-8117-2156;4857-8903-6049-9858"
104,What factors contributed to 'multiple issues - medical records & billing'?,followup,,"Target outcome=multiple issues - medical records & billing, example_call_ids=3879-7990-2104-4589;4291-4929-8117-2156;4857-8903-6049-9858"
105,Which turns serve as evidence for 'multiple issues - medical records & billing' and why?,followup,,"Target outcome=multiple issues - medical records & billing, example_call_ids=3879-7990-2104-4589;4291-4929-8117-2156;4857-8903-6049-9858"
106,Why did the outcome 'multiple issues - billing & payment setup' occur?,task1,,"Target outcome=multiple issues - billing & payment setup, example_call_ids=2232-3139-6632-2348;1397-7327-8009-3974;3813-7897-6349-1917"
107,What factors contributed to 'multiple issues - billing & payment setup'?,followup,,"Target outcome=multiple issues - billing & payment setup, example_call_ids=2232-3139-6632-2348;1397-7327-8009-3974;3813-7897-6349-1917"
108,Which turns serve as evidence for 'multiple issues - billing & payment setup' and why?,followup,,"Target outcome=multiple issues - billing & payment setup, example_call_ids=2232-3139-6632-2348;1397-7327-8009-3974;3813-7897-6349-1917"
109,"Why did the outcome 'multiple issues - claims, coverage & policy updates' occur?",task1,,"Target outcome=multiple issues - claims, coverage & policy updates, example_call_ids=5946-9517-3646-3082;5091-2619-5394-3209;6357-4127-8585-9172"
110,"What factors contributed to 'multiple issues - claims, coverage & policy updates'?",followup,,"Target outcome=multiple issues - claims, coverage & policy updates, example_call_ids=5946-9517-3646-3082;5091-2619-5394-3209;6357-4127-8585-9172"
111,"Which turns serve as evidence for 'multiple issues - claims, coverage & policy updates' and why?",followup,,"Target outcome=multiple issues - claims, coverage & policy updates, example_call_ids=5946-9517-3646-3082;5091-2619-5394-3209;6357-4127-8585-9172"
112,Why did the outcome 'business event - ransomware attack' occur?,task1,,"Target outcome=business event - ransomware attack, example_call_ids=2631-3093-2546-3092;4504-8852-4285-8187;3591-3365-7083-5174"
113,What factors contributed to 'business event - ransomware attack'?,followup,,"Target outcome=business event - ransomware attack, example_call_ids=2631-3093-2546-3092;4504-8852-4285-8187;3591-3365-7083-5174"
114,Which turns serve as evidence for 'business event - ransomware attack' and why?,followup,,"Target outcome=business event - ransomware attack, example_call_ids=2631-3093-2546-3092;4504-8852-4285-8187;3591-3365-7083-5174"
115,Why did the outcome 'business event - data breach response' occur?,task1,,"Target outcome=business event - data breach response, example_call_ids=9903-7584-7525-6042;6045-7789-3193-2999;7777-5249-1702-4096"
116,What factors contributed to 'business event - data breach response'?,followup,,"Target outcome=business event - data breach response, example_call_ids=9903-7584-7525-6042;6045-7789-3193-2999;7777-5249-1702-4096"
117,Which turns serve as evidence for 'business event - data breach response' and why?,followup,,"Target outcome=business event - data breach response, example_call_ids=9903-7584-7525-6042;6045-7789-3193-2999;7777-5249-1702-4096"
118,Why did the outcome 'multiple issues - technical support & account management' occur?,task1,,"Target outcome=multiple issues - technical support & account management, example_call_ids=4208-2864-9101-7604;3627-9916-4412-3742;8719-5476-7432-6091"
119,What factors contributed to 'multiple issues - technical support & account management'?,followup,,"Target outcome=multiple issues - technical support & account management, example_call_ids=4208-2864-9101-7604;3627-9916-4412-3742;8719-5476-7432-6091"
120,Which turns serve as evidence for 'multiple issues - technical support & account management' and why?,followup,,"Target outcome=multiple issues - technical support & account management, example_call_ids=4208-2864-9101-7604;3627-9916-4412-3742;8719-5476-7432-6091"
121,Why did the outcome 'business event - cyber attack' occur?,task1,,"Target outcome=business event - cyber attack, example_call_ids=5960-1013-4743-2291;2637-5001-4129-8873;6561-8988-2166-6274"
122,What factors contributed to 'business event - cyber attack'?,followup,,"Target outcome=business event - cyber attack, example_call_ids=5960-1013-4743-2291;2637-5001-4129-8873;6561-8988-2166-6274"
123,Which turns serve as evidence for 'business event - cyber attack' and why?,followup,,"Target outcome=business event - cyber attack, example_call_ids=5960-1013-4743-2291;2637-5001-4129-8873;6561-8988-2166-6274"
